drug_code,drug_name,insurance_status,insurance_status_normalized,hospital_status,hospital_status_normalized,document_office_status,document_office_status_normalized,file_required_status,file_required_normalized,max_prescription,hard_to_treat_status,hard_to_treat_normalized,barcode_required_status,barcode_required_normalized,electronic_prescription_only_status,electronic_prescription_only_normalized,price_without_subsidy,organization_share_percent_without_subsidy,government_subsidy,accepted_total_price,related_specialties_button,unrelated_specialties_button,source_page
06757,"CASPOFUNGIN ACETATE 50 mg INJECTION, POWDER, FOR SOLUTION PARENTERAL INJECTION",است,covered,است,True,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,15000000,90.0,22000000,37000000,True,True,131
17197,METFORMIN HYDROCHLORIDE / GLIBENCLAMIDE 500 mg/5 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,6376,70.0,1164,7540,True,True,131
16793,GADOBUTROL 604.72 mg/1mL 15 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,خير,False,1,نيست,False,بله,True,است,True,8000000,90.0,22000000,30000000,True,True,131
08997,"DEFERASIROX 500 mg TABLET, FOR SUSPENSION ORAL TABLET",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,101652,100.0,238348,340000,True,True,131
06382,VORICONAZOLE 200 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,589341,90.0,470659,1060000,True,True,132
06532,TEMOZOLOMIDE 20 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,364520,90.0,235480,600000,True,True,132
07986,"AZITHROMYCIN 200 mg/5mL 22.5 mL POWDER, FOR SUSPENSION ORAL SUSPENTION",است,covered,نيست,False,خير,False,خير,False,3,است,True,خير,False,است,True,470000,70.0,0,470000,True,True,132
06383,"VORICONAZOLE 200 mg INJECTION, POWDER, FOR SOLUTION PARENTERAL INJECTION",است,covered,است,True,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,6149160,90.0,1350840,7500000,True,True,132
17106,METFORMIN HYDROCHLORIDE / GLIBENCLAMIDE 500 mg/2.5 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,7250,70.0,0,7250,True,True,132
04905,REPAGLINIDE 2 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,26111,70.0,1889,28000,True,True,132
07848,BOSENTAN 125 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,212456,95.0,174344,386800,True,True,132
13571,CINACALCET (AS HYDROCHLORIDE) 60 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,219086,90.0,320914,540000,True,True,132
05883,"ZOLEDRONIC ACID 4 mg INJECTION, POWDER, FOR SOLUTION PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,4100000,70.0,0,4100000,True,True,132
13524,TENOFOVIR DISOPROXIL FUMARATE 300 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,است,True,بله,True,نيست,False,24700,90.0,95300,120000,True,True,132
09801,VALSARTAN 40 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,است,True,22479,70.0,2521,25000,True,True,133
04904,REPAGLINIDE 1 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,23019,70.0,981,24000,True,True,133
20306,"INSULIN ASPART 100 [iU]/1mL 3 mL INJECTION, SOLUTION PARENTERAL",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,1400000,90.0,5000000,6400000,True,True,133
05831,"INFLIXIMAB 100 mg INJECTION, POWDER, FOR SOLUTION PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,17603700,90.0,161396300,179000000,True,True,133
05950,TEMOZOLOMIDE 250 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,4082592,90.0,3417409,7500001,True,True,133
05845,"DOXORUBICIN HYDROCHLORIDE 2 mg/1mL 10 mL INJECTION, SOLUTION, CONCENTRATE PARENTERAL INJECTION",است,covered,نيست,False,بله,True,بله,True,طبق پرونده,است,True,بله,True,است,True,270000,90.0,1,270001,True,True,133
15618,QUETIAPINE (AS FUMARATE) 150 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,36100,70.0,13900,50000,True,True,133
08066,CINACALCET (AS HYDROCHLORIDE) 30 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,160503,90.0,39497,200000,True,True,133
06743,QUETIAPINE (AS FUMARATE) 25 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,18500,70.0,18500,37000,True,True,133
07095,VALSARTAN 40 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,است,True,1800,70.0,0,1800,True,True,133
13434,APREPITANT 125 MG CAPSUL CAPSULE,است,covered,نيست,False,خير,False,خير,False,1,است,True,بله,True,است,True,3318240,70.0,4181760,7500000,True,True,134
19412,TEMOZOLOMIDE 140 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,2172028,90.0,2027972,4200000,True,True,134
07054,"DEFERASIROX 125 mg TABLET, FOR SUSPENSION ORAL TABLET",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,10000,100.0,0,10000,True,True,134
07384,TEMOZOLOMIDE 5 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,134283,90.0,40717,175000,True,True,134
13435,APREPITANT 80/80MG CAP CAPSULE,است,covered,نيست,False,خير,False,خير,False,2,نيست,False,بله,True,است,True,225000,70.0,0,225000,True,True,134
05766,VALSARTAN 160 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,است,True,35520,70.0,31480,67000,True,True,134
04989,"AZITHROMYCIN 200 mg/5mL 15 mL POWDER, FOR SUSPENSION ORAL SUSPENTION",است,covered,نيست,False,خير,False,خير,False,3,است,True,خير,False,است,True,376900,70.0,173100,550000,True,True,134
04768,VALGANCICLOVIR (AS HYDROCHLORIDE) 450 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,700000,100.0,900000,1600000,True,True,134
05949,TEMOZOLOMIDE 100 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,1634091,90.0,1365909,3000000,True,True,134
05927,QUETIAPINE (AS FUMARATE) 100 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,42000,70.0,42000,84000,True,True,134
05928,QUETIAPINE (AS FUMARATE) 200 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,70000,70.0,70000,140000,True,True,135
04022,SIROLIMUS 1 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,361000,100.0,541000,902000,True,True,135
09604,VORICONAZOLE 50 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,67466,90.0,79634,147100,True,True,135
12114,BOSENTAN 62.5 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,138793,95.0,100107,238900,True,True,135
06353,LARONIDASE 100IU/ML 5ML VIAL INJECTION,است,covered,نيست,False,بله,True,بله,True,طبق پرونده,نيست,False,بله,True,است,True,3160000,100.0,80000000,83160000,True,True,135
04903,REPAGLINIDE 0.5 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,21483,70.0,517,22000,True,True,135
05217,PIOGLITAZONE 30 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,17748,70.0,18252,36000,True,True,135
05560,VALSARTAN 80 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,است,True,3000,70.0,0,3000,True,True,135
12534,"NATALIZUMAB 20 mg/1mL 15 mL INJECTION, SOLUTION, CONCENTRATE PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,148202000,90.0,246728000,394930000,True,True,135
13610,CINACALCET (AS HYDROCHLORIDE) 90 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,150000,90.0,0,150000,True,True,135
05804,TACROLIMUS 0.5 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,232210,100.0,27790,260000,True,True,136
19983,"QUETIAPINE (AS FUMARATE) 200 mg TABLET, EXTENDED RELEASE ORAL TABLET",است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,85000,70.0,85000,170000,True,True,136
19984,"QUETIAPINE (AS FUMARATE) 50 mg TABLET, EXTENDED RELEASE ORAL TABLET",است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,37500,70.0,37500,75000,True,True,136
18556,"IRINOTECAN HYDROCHLORIDE 20 mg/1mL 15 mL INJECTION, SOLUTION, CONCENTRATE PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,8428342,90.0,2931658,11360000,True,True,136
18065,HEPATITIS B IMMUNE GLOBULIN 50 [iU]/1mL 50 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,خير,False,1,نيست,False,بله,True,است,True,27306000,95.0,107472000,134778000,True,True,136
19172,"BOTULINUM A TOXIN 300 [iU] INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,3752400,70.0,762000,4514400,True,True,136
16496,IOPROMIDE 300 mg/1mL 100 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,خير,False,2,نيست,False,بله,True,است,True,10920740,70.0,3719260,14640000,True,True,136
00977,PHENOBARBITAL SODIUM 200 mg/1mL INJECTION PARENTERAL 200MG/ML INJECTION,است,covered,نيست,False,خير,False,خير,False,10,نيست,False,خير,False,نيست,False,737562,70.0,12438,750000,True,True,136
02005,SUMATRIPTAN (AS SUCCINATE) 100 mg TABLET ORAL 100MG TABLET,صرفا مشمول يارانه دولت,government_subsidy_only,نيست,False,خير,False,خير,False,20,نيست,False,خير,False,نيست,False,82614,0.0,52386,135000,True,True,136
00226,CEFIXIME 200 mg TABLET ORAL 200MG TABLET,است,covered,نيست,False,خير,False,خير,False,20,نيست,False,خير,False,است,True,30966,70.0,30000,60966,True,True,136
02475,CARVEDILOL 6.25 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,18710,70.0,3790,22500,True,True,137
00968,"PENICILLIN 6-3-3 600000 [iU]/300000 [iU]/300000 [iU] INJECTION, POWDER PARENTERAL INJECTION",است,covered,نيست,False,خير,False,خير,False,10,نيست,False,خير,False,نيست,False,450900,70.0,99100,550000,True,True,137
01427,"CHARCOAL ACTIVATED 50 g POWDER, FOR SUSPENSION ORAL SUSPENTION",است,covered,نيست,False,خير,False,خير,False,1,نيست,False,بله,True,است,True,530000,70.0,0,530000,True,True,137
00394,"DEXTROSE / ETHANOL 5 %/5 % 1000 mL INJECTION, SOLUTION INTRAVENOUS 1000ML INFUSION",است,covered,است,True,خير,False,خير,False,10,است,True,خير,False,نيست,False,6900,70.0,0,6900,True,True,137
00011,ACETAZOLAMIDE 250 mg TABLET ORAL 250MG TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,بله,True,نيست,False,20797,70.0,24203,45000,True,True,137
00318,CLOFIBRATE 500 mg CAPSULE ORAL 500MG CAPSULE,است,covered,نيست,False,خير,False,خير,False,200,است,True,خير,False,است,True,27500,70.0,0,27500,True,True,137
00166,BISACODYL 10 mg SUPPOSITORY RECTAL 10MG SUPPOSITORY,است,covered,نيست,False,خير,False,خير,False,20,نيست,False,خير,False,نيست,False,91390,70.0,58610,150000,True,True,137
